Stars,Titles,Comments
2.0 out of 5 stars,you can do much better,"Lens quality is not very good; there is glare / feedback in the sun.  It's not obvious at all how to change the lenses (turn the little tabs on each side of the lens, then pop out the rubber nubs inside the frame), and there are no instructions.  I don't wear a helmet, and the buckle on the strap is really uncomfortable even with a hat underneath.  Also, they need to actually describe the lens colours instead of just showing the exterior.  Overall, went out on a limb here based on positive reviews and wasn't expecting top-notch, but I wouldn't buy these again."
5.0 out of 5 stars,very nice,very confy
5.0 out of 5 stars,Great fit. Fits well on face.,Great fit.
4.0 out of 5 stars,Four Stars,Love my goggles for snowboarding! I've gotten so many compliments on it too
5.0 out of 5 stars,Looks great,Looks great and feels great
5.0 out of 5 stars,Great value and looks!,Perfect for a sunny day!
5.0 out of 5 stars,Perfect,Love these. Fit great
4.0 out of 5 stars,Four Stars,Good crisp goggles.  Quite large size.
5.0 out of 5 stars,They have a mirror effect and are comfortable to wear all day,I ordered these goggles because I didn't want people to see my eyes when I snowboard. They have a mirror effect and are comfortable to wear all day. They also do not fog! Great product!
5.0 out of 5 stars,Fantastic!,LOVE these!  They look very cool and they work great.  Never had any issues with the lens fogging up. A must buy for your next trip on the slopes! I have a small face too and they fit perfectly.
2.0 out of 5 stars,Good for a quick fix,"If you are buying these in a pinch for some reason (for kid, or because you misplaced yours) these are ideal. Great price for what you get.On the other hand if you are serious about getting into winter sport you should step up just a bit and get a better lens."
2.0 out of 5 stars,Goggles look great as seen in every other review,"Goggles look great as seen in every other review. I really looked forward to this product as all other reviews seemed to rave about this product. These were supposed to replace my old ""upscale"" goggles. When i received the product, color and description were accurate. However, one review stated that they had problems with the fog...I did as well. Usually if they fog after maybe a few hours. My goggles fogged up before I even got onto the first run...after that, it fogged up a few more times...I thought these were anti-fog. My friend had a pair of Electrics that never fogged the entire trip."
5.0 out of 5 stars,Awesome for Snowboard,Love it a lot
5.0 out of 5 stars,Awesome,they are very usesful on the mountain and no one has the same goggles. They do everything that they say they do. I'm going to snowboard camp up on Mt. Hood Oregon and I think they will help a lot.
5.0 out of 5 stars,GREAT PRODUCT,very clear
1.0 out of 5 stars,I would like to say they look cool and that's why I ...,"First off, I would like to say they look cool and that's why I bought them. After using them once, I found them to not be a good product at all. The band kept loosing up which caused my snow to get into the inside of my goggles. The inside smeared easily with water and after trying to wipe the lens with a soft clothes it became worse. I literally couldn't see going down the hill. After getting to the base I cleaned the inside and I found scratches all over the lens. Apparently the lens is so fragile you cant even wipe it without damaging it. I tried to return it but just saw that I was passed the deadline. I might just send it back anyways because I don't have use for them. Id go with high brand name. these goggles ruined a day of snowboarding"
3.0 out of 5 stars,Kept fogging up,Kept fogging up...
5.0 out of 5 stars,Great for the price!,Didn?? fog! Crisp view!
2.0 out of 5 stars,makes bridge of nose sore,lens was ok.  cushioning over bridge of nose sorely lacking.  very uncomfortable on the bridge of the nose.
5.0 out of 5 stars,Report abuse,Translate review to English
5.0 out of 5 stars,I love them,Will get again
5.0 out of 5 stars,Nice,Nice
5.0 out of 5 stars,The perfect snow goggles!,worth it!
5.0 out of 5 stars,Green is the colour,"Bought this goggle for the younger boy cause he likes green, turns out he likes it."
3.0 out of 5 stars,"super comfortable, great look","Pros: do not fog up on wet days, super comfortable, great look.Cons: terrible off-gassing; I had to hang them outdoors for five days before I could use them. After that, they were fine. If they fixed this problem, I would give them five stars."
5.0 out of 5 stars,Sexy skier,My son was thrilled with these cool looking eyewear. Full coverage too.
5.0 out of 5 stars,just what I wanted,fit great!!!!!
5.0 out of 5 stars,Loved it!,Very cool glasses! I love the color and style. One thing that does bother me a little is that it gets foggy inside after a while. But I guess most glasses do the the same. Overall I'd recommend it.
5.0 out of 5 stars,can you see me now?,"Used every day, no fog / great eye and face protection in sub-zero wind chills. Planning to get another pair soon."
4.0 out of 5 stars,Four Stars,real nice like them very much
4.0 out of 5 stars,"Good goggles, reasonable price","Great goggles. Best for sunnier days. It made visibility more difficult on a snowy day, but gave my face great coverage."
1.0 out of 5 stars,Revised due to poor longevity,after owning a few months I?? sad to say these are cheap for a reason.  Goggles fog heavily and can no longer be cleaned on inside.  Head strap is no longer comfortable. I regret my purchase
5.0 out of 5 stars,Na,Na
5.0 out of 5 stars,Great for sunny/partly cloudy days.,"Great fit, didn?? fog up and didn?? get sunburn, received complements on these goggles."
1.0 out of 5 stars,Not fogless,"Supposedly fogless, they fogged the whole time."
5.0 out of 5 stars,great color and quality,"Shipped fast , great color and quality, we tried them out at the slopes this last weekend and they were awesome!"
5.0 out of 5 stars,Durable and 100% worth it.,For the price you won?? get better quality. Looks great and surprisingly better than some of the big name brands.
5.0 out of 5 stars,I ordered the polarized blue goggles. I used them ...,"I ordered the polarized blue goggles.I used them in Lake Tahoe.  They look dope!Real polarized lens, worked as well as my rayban glassesThey never fogged up"
5.0 out of 5 stars,Fits very well,N/A
5.0 out of 5 stars,Perfect,Worked amazing
5.0 out of 5 stars,N/a,N/a
4.0 out of 5 stars,6/10 would buy again,"Great ski Google, didn't fog up and they look awesome, however they scratch easily so be careful!"
2.0 out of 5 stars,Meh,"the rubbery texture on the strap makes it hard to adjust, and they dont fit easily over glasses."
